pedestrianId simTime groupId-PID5
1 0.0 0
2 0.0 0
3 0.0 1
4 0.0 1
5 0.0 1
6 0.0 1
7 0.0 1
8 0.0 1
9 0.0 1
10 0.0 1
11 0.0 1
12 0.0 1
13 0.0 1
14 0.0 1
15 0.0 1
16 0.0 1
17 0.0 1
18 0.0 1
19 0.0 1
20 0.0 1
21 0.0 1
22 0.0 1
23 0.0 1
24 0.0 1
25 0.0 1
26 0.0 1
27 0.0 1
28 0.0 1
29 0.0 1
30 0.0 1
31 0.0 1
32 0.0 1
33 0.0 1
34 0.0 1
35 0.0 1
36 0.0 1
37 0.0 1
1 0.5 0
4 0.5 1
5 0.5 1
6 0.5 1
9 0.5 1
11 0.5 1
12 0.5 1
14 0.5 1
19 0.5 1
20 0.5 1
30 0.5 1
3 0.6 1
7 0.6 1
8 0.6 1
13 0.6 1
15 0.6 1
16 0.6 1
21 0.6 1
22 0.6 1
24 0.6 1
25 0.6 1
26 0.6 1
27 0.6 1
28 0.6 1
29 0.6 1
31 0.6 1
33 0.6 1
34 0.6 1
35 0.6 1
36 0.6 1
37 0.6 1
2 0.7 0
10 0.7 1
17 0.7 1
18 0.7 1
23 0.7 1
32 0.7 1
38 0.8 1
39 0.8 1
40 0.8 1
41 0.8 1
42 0.8 1
43 0.8 1
44 0.8 1
45 0.8 1
46 0.8 1
47 0.8 1
48 0.8 1
49 0.8 1
50 0.8 1
51 0.8 1
52 0.8 1
53 0.8 1
1 1.0 0
4 1.0 1
9 1.0 1
14 1.0 1
19 1.0 1
20 1.0 1
5 1.1 1
6 1.1 1
11 1.1 1
12 1.1 1
13 1.1 1
27 1.1 1
28 1.1 1
30 1.1 1
33 1.1 1
37 1.1 1
3 1.2 1
8 1.2 1
21 1.2 1
22 1.2 1
29 1.2 1
31 1.2 1
34 1.2 1
36 1.2 1
54 1.2 1
55 1.2 1
56 1.2 1
57 1.2 1
58 1.2 1
7 1.3 1
10 1.3 1
15 1.3 1
16 1.3 1
17 1.3 1
24 1.3 1
25 1.3 1
26 1.3 1
32 1.3 1
35 1.3 1
43 1.3 1
44 1.3 1
50 1.3 1
